Station,Year,Month,Days_Available,Rainfall_Total,Rainfall_Days,Max_Daily_Rain,Temperature_Mean,Max_Temperature,Min_Temperature,Humidity_Mean,Sunshine_Mean,Season,Latitude,Longitude,Ra_MJ_m2_day,Days_in_Month,PET_mm_day,PET_mm_month,Water_Balance
Sandwip,1997,7,31,983.0,23,176.0,27.92258064516129,29.6,26.0,91.7741935483871,3.2935483870967746,Monsoon,22.48,91.43,39.63045473142296,31,3.226257593010428,100.01398538332326,882.9860146166767
Sandwip,1997,8,31,639.0,23,143.0,28.6,31.2,26.7,87.7741935483871,5.7548387096774185,Monsoon,22.48,91.43,38.18230429702243,31,3.526747531309522,109.32917347059518,529.6708265294048
Sandwip,1997,9,30,568.0,23,175.0,27.90333333333333,29.9,24.8,89.23333333333333,5.626666666666666,Monsoon,22.48,91.43,35.03206816349564,30,3.393022507150538,101.79067521451614,466.2093247854839
Sandwip,1997,10,31,73.0,4,42.0,27.245161290322574,28.8,25.4,83.35483870967742,9.116129032258064,Post-Monsoon,22.48,91.43,30.450830141623346,31,2.3734207813864274,73.57604422297925,-0.5760442229792488
Sandwip,1997,11,30,18.0,3,9.0,25.223333333333333,27.5,23.2,83.06666666666666,8.44,Post-Monsoon,22.48,91.43,26.14346665699684,30,2.1887162246714555,65.66148674014367,-47.66148674014367
Sandwip,1997,12,31,12.0,3,9.0,19.34516129032258,20.8,17.0,76.74193548387096,7.038709677419354,Winter,22.48,91.43,24.17597495430461,31,1.6427294497815077,50.92461294322674,-38.92461294322674
Sandwip,1998,1,31,41.0,3,27.0,18.90967741935484,23.0,15.0,84.06451612903226,6.796774193548388,Winter,22.48,91.43,25.460275351627466,31,2.48071376827193,76.90212681642983,-35.90212681642983
Sandwip,1998,2,28,30.0,4,23.0,22.103571428571428,25.0,18.4,81.82142857142857,7.475,Winter,22.48,91.43,29.486971760193196,28,2.836624882592486,79.4254967125896,-49.425496712589606
Sandwip,1998,3,31,128.0,6,54.0,24.85806451612903,27.9,21.5,76.48387096774194,8.864516129032259,Pre-Monsoon,22.48,91.43,34.32497596960831,31,3.4760768925631096,107.75838366945639,20.241616330543607
Sandwip,1998,4,30,197.0,9,61.0,27.416666666666664,29.5,23.1,84.13333333333334,8.146666666666667,Pre-Monsoon,22.48,91.43,37.94516024594045,30,4.073173604271164,122.19520812813494,74.80479187186506
Sandwip,1998,5,31,466.0,12,132.0,28.95161290322581,31.4,25.1,85.7741935483871,5.848387096774193,Pre-Monsoon,22.48,91.43,39.65175126597398,31,4.366336932483885,135.35644490700045,330.6435550929996
Sandwip,1998,6,30,381.0,18,121.0,29.719999999999995,31.3,27.8,88.16666666666667,4.989999999999999,Monsoon,22.48,91.43,40.02569127481533,30,3.339160501323873,100.1748150397162,280.8251849602838
Sandwip,1998,7,31,990.0,26,125.0,27.95483870967742,30.2,26.0,92.38709677419357,2.606451612903226,Monsoon,22.48,91.43,39.63045473142296,31,3.4872150365353196,108.10366613259491,881.8963338674051
Sandwip,1998,8,31,1336.0,26,130.0,27.909677419354843,30.1,26.1,92.38709677419357,3.2516129032258063,Monsoon,22.48,91.43,38.18230429702243,31,3.2755805649835956,101.54299751449146,1234.4570024855086
Sandwip,1998,9,30,374.0,19,149.0,28.85,32.0,26.2,88.36666666666666,5.546666666666666,Monsoon,22.48,91.43,35.03206816349564,30,3.6933411190366168,110.8002335710985,263.1997664289015
Sandwip,1998,10,31,218.0,13,58.0,28.806451612903228,31.0,24.5,86.16129032258064,7.0,Post-Monsoon,22.48,91.43,30.450830141623346,31,3.3953914702360364,105.25713557731713,112.74286442268287
Sandwip,1998,11,30,133.0,3,114.0,26.71,28.2,24.6,83.86666666666666,7.949999999999999,Post-Monsoon,22.48,91.43,26.14346665699684,30,2.0718581536622542,62.155744609867625,70.84425539013237
Sandwip,1998,12,31,0.0,0,0.0,22.690322580645155,24.7,19.9,79.51612903225806,9.60967741935484,Winter,22.48,91.43,24.17597495430461,31,2.0125368985423577,62.38864385481309,-62.38864385481309
Sandwip,1999,1,31,0.0,0,0.0,20.46451612903225,23.3,18.1,79.2258064516129,8.651612903225807,Winter,22.48,91.43,25.460275351627466,31,2.0847260489489945,64.62650751741883,-64.62650751741883
Sandwip,1999,2,28,0.0,0,0.0,24.017857142857142,27.1,22.6,74.92857142857143,9.514285714285714,Winter,22.48,91.43,29.486971760193196,28,2.454630942415886,68.72966638764481,-68.72966638764481
Sandwip,1999,3,31,0.0,0,0.0,27.10322580645161,29.0,24.8,78.2258064516129,9.499999999999998,Pre-Monsoon,22.48,91.43,34.32497596960831,31,2.9641517090037994,91.88870297911778,-91.88870297911778
Sandwip,1999,4,30,14.0,4,6.0,29.989999999999995,31.8,27.5,81.16666666666667,9.643333333333336,Pre-Monsoon,22.48,91.43,37.94516024594045,30,3.528707403611503,105.86122210834509,-91.86122210834509
Sandwip,1999,5,31,582.0,19,190.0,28.00645161290322,32.0,24.3,86.83870967741936,5.35483870967742,Pre-Monsoon,22.48,91.43,39.65175126597398,31,4.7295779261057,146.6169157092767,435.38308429072333
Sandwip,1999,6,30,768.0,22,118.0,27.886666666666667,30.6,25.5,91.63333333333334,4.333333333333332,Monsoon,22.48,91.43,40.02569127481533,30,3.8752649572771483,116.25794871831445,651.7420512816856
Sandwip,1999,7,31,964.0,24,167.0,27.764516129032263,30.0,25.9,92.16129032258064,4.612903225806453,Monsoon,22.48,91.43,39.63045473142296,31,3.4311187230591993,106.36468041483518,857.6353195851648
Sandwip,1999,8,31,971.0,25,201.0,27.625806451612902,29.5,25.7,91.64516129032258,3.6903225806451614,Monsoon,22.48,91.43,38.18230429702243,31,3.1728137431536267,98.35722603776243,872.6427739622376
Sandwip,1999,9,30,410.0,19,67.0,28.023333333333333,29.9,25.5,89.43333333333334,5.966666666666666,Monsoon,22.48,91.43,35.03206816349564,30,3.159852369197221,94.79557107591663,315.20442892408335
Sandwip,1999,10,31,363.0,14,200.0,27.93870967741936,29.8,25.0,89.19354838709677,5.848387096774195,Post-Monsoon,22.48,91.43,30.450830141623346,31,2.8634635764357212,88.76737086950736,274.2326291304926
Sandwip,1999,11,30,0.0,0,0.0,25.383333333333333,29.3,22.4,80.46666666666667,10.093333333333332,Post-Monsoon,22.48,91.43,26.14346665699684,30,2.7828633559276175,83.48590067782852,-83.48590067782852
Sandwip,1999,12,31,42.0,4,32.0,21.916129032258063,24.0,19.8,81.58064516129032,8.648387096774194,Winter,22.48,91.43,24.17597495430461,31,1.8465605556771916,57.24337722599294,-15.243377225992937
Sandwip,2000,1,31,106.0,4,81.0,19.745161290322585,23.0,16.1,80.48387096774194,8.883870967741935,Winter,22.48,91.43,25.460275351627466,31,2.356294746940901,73.04513715516792,32.95486284483208
Sandwip,2000,2,29,2.0,2,1.0,21.75172413793104,23.6,19.6,73.72413793103448,5.744827586206896,Winter,22.48,91.43,29.486971760193196,29,2.1888378428848823,63.476297443661586,-61.476297443661586
Sandwip,2000,3,31,95.0,3,48.0,25.80322580645161,27.8,22.1,82.87096774193549,7.574193548387095,Pre-Monsoon,22.48,91.43,34.32497596960831,31,3.3531600924222897,103.94796286509099,-8.947962865090986
Sandwip,2000,4,30,57.0,7,17.0,28.35333333333333,29.7,25.2,83.4,8.736666666666668,Pre-Monsoon,22.48,91.43,37.94516024594045,30,3.4862114086223186,104.58634225866956,-47.58634225866956
Sandwip,2000,5,31,804.0,23,169.0,27.812903225806448,30.8,23.9,87.54838709677419,5.335483870967742,Pre-Monsoon,22.48,91.43,39.65175126597398,31,4.458231676734307,138.20518197876353,665.7948180212364
